Ingredient,Frequency,Percentage
"parsnip 1.5%",2,0.11%
"natural ground bone",2,0.11%
"fresh boneless lamb",2,0.11%
"dehydrated lamb meat",2,0.11%
"hydrolysed fish protein",2,0.11%
"plaque off",2,0.11%
"liver hydrolysate",2,0.11%
"carrots 0.5%",2,0.11%
"2% pear",2,0.11%
"chicken breast",2,0.11%
"rabbit",2,0.11%
"90% fresh meat and wild caught fish",2,0.11%
"prebiotic fructo oligosaccharide",2,0.11%
"yeast betaglucan",2,0.11%
"chicken meal 32%",2,0.11%
"dehydrated vegetables",2,0.11%
"olive oil.",2,0.11%
"12% poultry protein",2,0.11%
"greaves meal",2,0.11%
"0.3% salmon oil",2,0.11%
"organic broccoli",2,0.11%
"organic honey.",2,0.11%
"44% chicken",2,0.11%
"turmeric 100mg/kg",2,0.11%
"dried sweet potato 6%",2,0.11%
"vegetable oil glycerine 6%",2,0.11%
"dried fermented whey",2,0.11%
"ascophyllum nodosum",2,0.11%
"glucosamine hcl 2000mg/kg",2,0.11%
"chondroitin sulphate 2000mg/kg",2,0.11%
"4% carrot",2,0.11%
"dried sugar beet",2,0.11%
"60% fresh pork",2,0.11%
"21% fresh turkey",2,0.11%
"limestone",2,0.11%
"mannan-oligosaccharides.",2,0.11%
"dried brewers yeast.",2,0.11%
"venison",2,0.11%
"chicory root.",2,0.11%
"dried fruit",2,0.11%
"rapeseed oil 0.1%.",2,0.11%
"rice flour 4%",2,0.11%
"yucca schidigera 0.02%.",2,0.11%
"0.3% sunflower oil",2,0.11%
"52% chicken",2,0.11%
"linseed 4%",2,0.11%
"vegetable gravy 4%",2,0.11%
"brewers yeast 1%",2,0.11%
"glucosamine 400mg/kg",2,0.11%
"chondroitin 200mg/kg.",2,0.11%
"sugar snap peas",2,0.11%
"herbs &amp; botanicals.",2,0.11%
"chicken 20%",2,0.11%
"poultry meat meal 7.0%",2,0.11%
"fructo oligosaccharides 0.1%",2,0.11%
"dehydrated herring 10%",2,0.11%
"sweet potato 6%",2,0.11%
"whole linseed 4%",2,0.11%
"sugar beet pulp 4%",2,0.11%
"dried alfalfa 0.8%",2,0.11%
"natural seaweed meal 0.4%",2,0.11%
"bison",2,0.11%
"0.5% minerals",2,0.11%
"0.1% mixed herbs",2,0.11%
"80% chicken",2,0.11%
"6% sweet potato",2,0.11%
"4.5% carrot",2,0.11%
"2% apple",2,0.11%
"2.5% dried alfalfa",2,0.11%
"1.5% salmon oil",2,0.11%
"0.7% whole linseed",2,0.11%
"meat and animal derivatives 20%",2,0.11%
"linseed 0.25%",2,0.11%
"lamb liver",2,0.11%
"cassava",2,0.11%
"grape seed",2,0.11%
"bilberries",2,0.11%
"blackcurrants",2,0.11%
"peppermint.",2,0.11%
"turkey fat 4%",2,0.11%
"blueberry.",2,0.11%
"chicken 41%",2,0.11%
"seasonal vegetables 20%",2,0.11%
"smoked turkey",2,0.11%
"pea meal",2,0.11%
"insects",2,0.11%
"poultry meal 18.5%",2,0.11%
"chicken 26%",2,0.11%
"beef 30%",2,0.11%
"minerals seaweed",2,0.11%
"sweet potato 7%",2,0.11%
"meat and animal derivatives 24%",2,0.11%
"hydrolysed yeast and chicory extracts",2,0.11%
"broken rice 6%",2,0.11%
"dried chicken & turkey 26%",2,0.11%
"sweet potato 13%",2,0.11%
"dried rosehips.",2,0.11%
"banana",2,0.11%
"4% beet pulp",2,0.11%
"rosemary and tocopherol extracts",2,0.11%
"2% bilberries",2,0.11%
"thermally pre-treated brown whole grain rice",2,0.11%
"dried fruits",2,0.11%
"butternut squash 10%",2,0.11%
"red cabbage 4%",2,0.11%
"inactivated bacteria and parts thereof.",2,0.11%
"fresh carrot",2,0.11%
"fresh apple",2,0.11%
"0.05% glucosamine",2,0.11%
"0.025% chondroitin.",2,0.11%
"chicken 29%",2,0.11%
"glucosamine 175 mg/kg",2,0.11%
"methylsulfonylmethane 175 mg/kg",2,0.11%
"chondroitin sulphate 125 mg/kg.",2,0.11%
"fresh beef",2,0.11%
"70% from animal ingredients: chicken: dried chicken protein",2,0.11%
"sweet potato 9%",2,0.11%
"botanicals & herbs 1%",2,0.11%
"chicken 66%",2,0.11%
"dimethyl sulphone",2,0.11%
"freshly frozen atlantic salmon",2,0.11%
"peas 15%",2,0.11%
"herbs 0.1%",2,0.11%
"45% chicken fillet",2,0.11%
"28.8% broth",2,0.11%
"10% turkey liver and gizzards",2,0.11%
"5% black angus lung and heart",2,0.11%
"5% chicken fat",2,0.11%
"3% sweet potato",2,0.11%
"2% cranberry",2,0.11%
"chicken 40%",2,0.11%
"0.2 % wild herbs.",2,0.11%
"pork 6%",2,0.11%
"4.5% hydrolyzed starch",2,0.11%
"1.5% sweet potato",2,0.11%
"0.45% cumin",2,0.11%
"turkey 75%",2,0.11%
"linseed oil 0.5%",2,0.11%
"chicory root extract 0.05%",2,0.11%
"yucca extract 0.005%.",2,0.11%
"93% fresh meat",2,0.11%
"insect 33%",2,0.11%
"beef 50%",2,0.11%
"lungs",2,0.11%
"intestines",2,0.11%
"peas 6%",2,0.11%
"yeast beta glucan",2,0.11%
"beef fat",2,0.11%
"pumpkin seed flour",2,0.11%
"white rice 18%",2,0.11%
"20.4% fresh fish",2,0.11%
"20.4% rice",2,0.11%
"5% rice",2,0.11%
"choline chloride",2,0.11%
"burdock",2,0.11%
"eggshell powder",2,0.11%
"3% apple",2,0.11%
"poultry fat 6%",2,0.11%
"organic baobab",2,0.11%
"chicken 30.5%",2,0.11%
"plant fibres",2,0.11%
"dehydrated chicken proteins",2,0.11%
"fructooligosacharides",2,0.11%
"dried basil",2,0.11%
"lentil",2,0.11%
"pomegranate powder.",2,0.11%
"30% fresh fish",2,0.11%
"fructo-oligo-saccharides 0.34%",2,0.11%
"marigold petals",2,0.11%
"chondroitin 0.01%.",2,0.11%
"85% meat and organs",2,0.11%
"1% pea flour",2,0.11%
"1% lignocellulose",2,0.11%
"1% linseed oil.",2,0.11%
"freshly prepared venison",2,0.11%
"fresh chicken giblets 6%",2,0.11%
"whole brown rice",2,0.11%
"33% poultry",2,0.11%
"0.1% dandelion",2,0.11%
"12% fresh chicken meat",2,0.11%
"soya",2,0.11%
"1.8% beet pulp",2,0.11%
"1.5% brewers yeast",2,0.11%
"beef tripe 10%",2,0.11%
"beef liver 2.5%",2,0.11%
"beef kidney 2.5%",2,0.11%
"coconut",2,0.11%
"dandelion root powder",2,0.11%
"carrot 6%",2,0.11%
"vitamins and chelated minerals",2,0.11%
"garbanzo beans",2,0.11%
"dried calendula",2,0.11%
"dried bilberries",2,0.11%
"dried ground white fish",2,0.11%
"eggs and egg derivatives",2,0.11%
"carrot flakes",2,0.11%
"ocean fish",2,0.11%
"copra oil",2,0.11%
"wheatgrass powder.",2,0.11%
"beef 18%",2,0.11%
"fresh chicken 40%",2,0.11%
"beef meat meal 18.0%",2,0.11%
"lamb broth",2,0.11%
"linseed oil.",2,0.11%
"green beans 3%",2,0.11%
"fish & fish derivatives",2,0.11%
"chicken 47%",2,0.11%
"2% blueberries",2,0.11%
"british and irish farmed meat",2,0.11%
"63% grass fed beef",2,0.11%
"grass fed lamb bone",2,0.11%
"free range egg",2,0.11%
"ground sunflower seeds",2,0.11%
"wild salmon oil",2,0.11%
"oyster meat powder",2,0.11%
"organic pressed coconut oil",2,0.11%
"dried chicken and turkey 30%",2,0.11%
"wholegrain wheat",2,0.11%
"dried african marigold",2,0.11%
"dried green tea",2,0.11%
"dried milk thistle seed",2,0.11%
"dried cranberry seed",2,0.11%
"26.5% meat stock",2,0.11%
"3% rice",2,0.11%
"0.5% linseed oil.",2,0.11%
"slippery elm",2,0.11%
"spinach 1%",2,0.11%
"1% minerals.",2,0.11%
"23% fish",2,0.11%
"lamb 50%",2,0.11%
"colours.",2,0.11%
"unmolassed sugar beet pulp",2,0.11%
"aloe vera",2,0.11%
"vegetables 4%",2,0.11%
"fresh reindeer",2,0.11%
"fresh deboned chicken",2,0.11%
"duck protein",2,0.11%
"pineapple dried",2,0.11%
"55% chicken and salmon",1,0.06%
"wholegrain oats",1,0.06%
"whole grain maize 71%",1,0.06%
"turkey drumsticks 40%",1,0.06%
"5% hydrolysed starch",1,0.06%
"5% vegetable glycerine",1,0.06%
"1% beta vulgaris pulp",1,0.06%
"0.75% sweet potato",1,0.06%
"pineapple 5%",1,0.06%
"sunflower oil 3%",1,0.06%
"apple juice.",1,0.06%
"60.0% chicken",1,0.06%
"26.0% chicken stock",1,0.06%
"4.0% carrots",1,0.06%
"3.0% courgettes",1,0.06%
"2.0% fennel",1,0.06%
"2.0% potatoes",1,0.06%
"1.0% raspberries",1,0.06%
"1.0% apples",1,0.06%
"0.1% yeast",1,0.06%
"0.1% linseed",1,0.06%
"0.1% desiccated coconut",1,0.06%
"0.1% seaweed calcium.",1,0.06%
"whey",1,0.06%
"60% beef",1,0.06%
"mushroom",1,0.06%
"turkey 93%",1,0.06%
"pear 4%",1,0.06%
"ground beet pulp",1,0.06%
"prebiotic.",1,0.06%
"23% fresh chicken meat",1,0.06%
"17% chicken meat",1,0.06%
"17% fresh salmon",1,0.06%
"8% fish",1,0.06%
"dried sweet potatoes",1,0.06%
"5% poultry fat",1,0.06%
"4% turkey",1,0.06%
"2% duck",1,0.06%
"2% hydrolysed poultry protein",1,0.06%
"1% egg",1,0.06%
"oats 55%",1,0.06%
"33% turkey",1,0.06%
"chicken broth concentrate",1,0.06%
"mono sodium phosphate",1,0.06%
"fresh pork",1,0.06%
"dried potato 44.0%",1,0.06%
"dried poultry protein 28.0%",1,0.06%
"carob meal",1,0.06%
"hydrolysed vegetable protein",1,0.06%
"dried new zealand greenlipped mussel meat.",1,0.06%
"beef broth",1,0.06%
"turkey meal 27.5%",1,0.06%
"brown rice 11.2%",1,0.06%
"turkey fat 5%",1,0.06%
"yucca extract 0.02%.",1,0.06%
"pork 14%",1,0.06%
"organic fresh chicken 25%",1,0.06%
"organic whole rice",1,0.06%
"organic whole millet",1,0.06%
"organic whole oats",1,0.06%
"organic fresh turkey 5%",1,0.06%
"organic pork gravy",1,0.06%
"organic tomatoes 0.04%",1,0.06%
"organic carrots 0.04%",1,0.06%
"organic pears 0.04%",1,0.06%
"organic apples 0.04%",1,0.06%
"organic chia seeds 0.04%",1,0.06%
"organic coconut 0.04%",1,0.06%
"organic nettle",1,0.06%
"organic blackberry leaves",1,0.06%
"organic fennel",1,0.06%
"organic caraway",1,0.06%
"organic balm.",1,0.06%
"chicken meat and bone 33%",1,0.06%
"salmon 25%",1,0.06%
"chicken liver 5%",1,0.06%
"vegetable mix 5%",1,0.06%
"vegetable fibre 2%.",1,0.06%
"free range chicken 81%",1,0.06%
"80% lamb",1,0.06%
"15% unpeeled millet",1,0.06%
"34% beef tripe",1,0.06%
"32% pork tongue",1,0.06%
"10% pork rib",1,0.06%
"8% carrot",1,0.06%
"8% kale",1,0.06%
"2% beef liver",1,0.06%
"lamb 65%",1,0.06%
"broth 28.8%",1,0.06%
"papaya 3%",1,0.06%
"cranberries 2%",1,0.06%
"rosemary 0.1%",1,0.06%
"salmon oil 0.1%.",1,0.06%
"organic brown rice flour",1,0.06%
"broken rice 7%",1,0.06%
"glucosamine - hci 0.01%",1,0.06%
"1% dried carrots",1,0.06%
"1% dried peas",1,0.06%
"raw grass-fed lamb",1,0.06%
"raw lamb liver",1,0.06%
"fresh red delicious apples",1,0.06%
"raw lamb tripe",1,0.06%
"raw lamb kidney",1,0.06%
"dried lamb cartilage",1,0.06%
"lentil fiber",1,0.06%
"marine algae 1.2%",1,0.06%
"freeze-dried lamb liver",1,0.06%
"enterococcus faecium.",1,0.06%
"16% fresh salmon",1,0.06%
"dried ground chicken 27%",1,0.06%
"chicory fibre",1,0.06%
"green mussel powder 1%",1,0.06%
"duck 35.2%",1,0.06%
"dried chicken protein 22%",1,0.06%
"30% fresh beef",1,0.06%
"15% sweet potatoes",1,0.06%
"10% beef protein",1,0.06%
"5% chickpeas",1,0.06%
"carob beans",1,0.06%
"1.1% linseed",1,0.06%
"0.5% carrots",1,0.06%
"red beet",1,0.06%
"0.2% dried herbs",1,0.06%
"0.04% chicken cartilage",1,0.06%
"0.02% crustaceans.",1,0.06%
"dried kelp and basil.",1,0.06%
"85% fresh whole fish",1,0.06%
"2% hydrolysed cartilage",1,0.06%
"0.5% eggs",1,0.06%
"0.5% beet pulp",1,0.06%
"0.5% brewers yeast",1,0.06%
"colourants",1,0.06%
"antioxidants 125mg/kg.",1,0.06%
"seasonal green
vegetables",1,0.06%
"duck 32.5%",1,0.06%
"mannan oligosaccharide",1,0.06%
"vegetable protein hydrolysate",1,0.06%
"dried brewers' yeast",1,0.06%
"dried wild berries 0.2%",1,0.06%
"dried yeast cell walls 0.2%",1,0.06%
"dried chicken 40%",1,0.06%
"sweet potato 34%",1,0.06%
"brewers yeast 5%",1,0.06%
"poultry fat 1%",1,0.06%
"fos inulin",1,0.06%
"yeast bio mos",1,0.06%
"apple 0.1%",1,0.06%
"carrot 0.1%",1,0.06%
"tomato 0.1%",1,0.06%
"seaweed 0.06%",1,0.06%
"cranberry 0.06%",1,0.06%
"flavour bioflavex",1,0.06%
"green tea extract 0.02%",1,0.06%
"hydrolysed pork cartilage",1,0.06%
"natural chicken 28.6%",1,0.06%
"turkey 14.4%",1,0.06%
"dried whole peas",1,0.06%
"chicken pea starch",1,0.06%
"poultry protein 10%",1,0.06%
"lamb protein 4%",1,0.06%
"meat and animal derivatives 18%",1,0.06%
"1% dried peas.",1,0.06%
"turkey liver digest",1,0.06%
"organic fresh chicken",1,0.06%
"organic full fat soya",1,0.06%
"organic skimmed milk",1,0.06%
"organic herbs",1,0.06%
"dried chicken & turkey 21%",1,0.06%
"cold pressed rapeseed oil",1,0.06%
"vegan broth",1,0.06%
"dha gold",1,0.06%
"25% poultry protein",1,0.06%
"joint care 0.08%",1,0.06%
"dried chicken & turkey 17%",1,0.06%
"chicory inulin 0.2%",1,0.06%
"20% fresh fish",1,0.06%
"4% brewers yeast",1,0.06%
"chicken and meat meals 26%",1,0.06%
"thyme dried.",1,0.06%
"turkey 64.5%",1,0.06%
"dried orange",1,0.06%
"new zealand green lipped mussel",1,0.06%
"freshly prepared goose 35%",1,0.06%
"freshly prepared rabbit 35%",1,0.06%
"broth 28%",1,0.06%
"0.1% fructooligosaccharides",1,0.06%
"0.1% turmeric",1,0.06%
"0.1% green-lipped mussel",1,0.06%
"0.1% eggshell powder.",1,0.06%
"montmorillonite",1,0.06%
"chicken 61%",1,0.06%
"cranberries 0.01%",1,0.06%
"39% irish turkey leg meat and whole duck",1,0.06%
"22% irish chicken with bone",1,0.06%
"16% irish turkey and duck liver",1,0.06%
"10% chicken heart and gizzard",1,0.06%
"10% irish carrot and seasonal greens",1,0.06%
"3% oils",1,0.06%
"chicken min 45%",1,0.06%
"10% raw dried apple",1,0.06%
"10% millet",1,0.06%
"5% seaweed",1,0.06%
"2% salmon oil.",1,0.06%
"herb blend",1,0.06%
"fish 30%",1,0.06%
"dandelion.",1,0.06%
"10% veg and superfoods",1,0.06%
"british washed tripe",1,0.06%
"british turkey with bone",1,0.06%
"fresh broccoli",1,0.06%
"fresh green curly kale",1,0.06%
"raw sea kelp powder.",1,0.06%
"salmon 67%",1,0.06%
"methysulfonylmethane",1,0.06%
"majoram",1,0.06%
"duck 35.5%",1,0.06%
"venison meat 35%",1,0.06%
"lamb with bone 30%",1,0.06%
"lamb tripe 10%",1,0.06%
"lamb trachea 5%",1,0.06%
"lamb liver 2.5%",1,0.06%
"lamb kidney 2.5%",1,0.06%
"brown rice 15%",1,0.06%
"white rice 15%",1,0.06%
"sugar beet pulp 5%",1,0.06%
"potato protein 5%",1,0.06%
"grass-fed lamb 55%",1,0.06%
"blueberries 1%
sustainable hand harvested organic scottish kelp 1%",1,0.06%
"chondroitin sulphate 0.0045%",1,0.06%
"turkey ingredients 41%",1,0.06%
"tapioca 20%",1,0.06%
"pea starch flour 15%",1,0.06%
"pea fiber",1,0.06%
"dry kale",1,0.06%
"chicory root extract.",1,0.06%
"with beef: meat and animal derivatives",1,0.06%
"raw turkey 19%",1,0.06%
"fresh chicken 18.5%",1,0.06%
"raw quail 4%",1,0.06%
"raw whole hake 4%",1,0.06%
"raw whole herring 4%",1,0.06%
"raw turkey liver 4%",1,0.06%
"fresh eggs 4%",1,0.06%
"dehydrated turkey 4%",1,0.06%
"dehydrated chicken 4%",1,0.06%
"dehydrated herring 4%",1,0.06%
"dehydrated chicken liver 4%",1,0.06%
"dehydrated egg 4%",1,0.06%
"chicken fat 3%",1,0.06%
"pollock oil 0.5%",1,0.06%
"35% fresh chicken meat",1,0.06%
"0.75% brewers yeast",1,0.06%
"0.25% banana",1,0.06%
"probiotic 1, 000, 000 cfu/kg.",1,0.06%
"black soldier fly 41.5%",1,0.06%
"dried free range lamb",1,0.06%
"fresh ostrich",1,0.06%
"mos 2500mg/kg",1,0.06%
"fos 1000mg/kg",1,0.06%
"glucosamine 250mg/kg",1,0.06%
"horse muscle meat",1,0.06%
"jerusalem artichoke",1,0.06%
"goat meat 18%",1,0.06%
"vegetables 18%",1,0.06%
"sea fish oil",1,0.06%
"green lipped mussel meat extract",1,0.06%
"bentonite and bentonite montmorillonite",1,0.06%
"lupin beans",1,0.06%
"carob flour",1,0.06%
"vegan dha omega 3 supplement",1,0.06%
"28% chicken",1,0.06%
"20% wholegrain rice",1,0.06%
"maerl",1,0.06%
"4% white fish oil",1,0.06%
"3% rapeseed oil",1,0.06%
"3% fruits",1,0.06%
"freshly prepared beef liver",1,0.06%
"freshly prepared beef hearts",1,0.06%
"freshly prepared beef kidneys",1,0.06%
"freshly prepared free range eggs",1,0.06%
"fresh chicken giblets 5.5%",1,0.06%
"chicken 32%",1,0.06%
"beef 14%",1,0.06%
"brown rice 1.4%",1,0.06%
"dried peas minerals",1,0.06%
"d xylose",1,0.06%
"cellulose fibres",1,0.06%
"sweet potato 12.97%",1,0.06%
"oat flakes 12.40%",1,0.06%
"peeled peas 12.20%",1,0.06%
"potato protein 8.00%",1,0.06%
"phytoplus",1,0.06%
"quinoa 4.50%",1,0.06%
"nutritional yeast 3.60%",1,0.06%
"fava beans 3.50%",1,0.06%
"vegetable broth",1,0.06%
"chickpeas 3.00%",1,0.06%
"provitamins & minerals",1,0.06%
"calcium carbonate 1.3%",1,0.06%
"calsporin probiotic.",1,0.06%
"85% meat",1,0.06%
"vegetables and fruits 12%",1,0.06%
"goji berry 0.5%",1,0.06%
"bilberry powder 0.2%",1,0.06%
"wheatgrass powder 0.2%",1,0.06%
"28% salmon 22.5% sweet potato",1,0.06%
"22% potato",1,0.06%
"17% dehydrated ocean fish",1,0.06%
"2.5% alfalfa",1,0.06%
"1% sunflower oil",1,0.06%
"0.8% whole linseed",1,0.06%
"0.8% dried carrot",1,0.06%
"0.2% chicory extract source of prebiotic fos",1,0.06%
"0.04% msm",1,0.06%
"0.028% chondroitin",1,0.06%
"prepared and dried ground ocean fish 48%",1,0.06%
"natural animal protein source 5%",1,0.06%
"cold-pressed rapeseed oil 1.7%",1,0.06%
"vitamins and chelated minerals 1.25%",1,0.06%
"the seasons dried fish",1,0.06%
"the seasons fresh fish",1,0.06%
"chicken with bone.",1,0.06%
"30% chicken",1,0.06%
"superfood botanical blend 1500mg/kg",1,0.06%
"potatoes and carrots",1,0.06%
"dried vegetables 2%",1,0.06%
"tyndallised lactobacillus helveticus ha 122.",1,0.06%
"dried duck protein",1,0.06%
"hawthorn leaf.",1,0.06%
"poultry liver whole eggs",1,0.06%
"oat fibre",1,0.06%
"chicory inulin, yeasts, marigold meal, glucosamine, yucca schidigera extract, cranberry extract, chondroitin sulphate, pomegranate extract, green tea extract.",1,0.06%
"cod 50%",1,0.06%
"red pepper 2%",1,0.06%
"olive oil 2%",1,0.06%
"hydrolyzed fish protein",1,0.06%
"thyme 0.1%.",1,0.06%
"plasma powder",1,0.06%
"sodium bicarbonate",1,0.06%
"composition: maize",1,0.06%
"55.5% turkey",1,0.06%
"chicken with bone 55%",1,0.06%
"beef tripe 15%",1,0.06%
"chicken heart 10%",1,0.06%
"blueberry 0.5%",1,0.06%
"kelp 0.2%",1,0.06%
"wheat grass 0.15%",1,0.06%
"spirulina 0.06%",1,0.06%
"ground black pepper 0.04%.",1,0.06%
".",1,0.06%
"glucosamine green lipped mussel seaweed",1,0.06%
"75% kangaroo",1,0.06%
"25% water",1,0.06%
"freshly prepared reindeer",1,0.06%
"deboned salmon 21%",1,0.06%
"dried herring 21%",1,0.06%
"deboned white fish 9%",1,0.06%
"deboned chicken 8%",1,0.06%
"dried salmon 6%",1,0.06%
"dried white fish 3%",1,0.06%
"fish meal 20%",1,0.06%
"rice 20%",1,0.06%
"poultry meat meal 12%",1,0.06%
"linseed 1%",1,0.06%
"chicken 51.5%",1,0.06%
"wild boar meat",1,0.06%
"pork hearts",1,0.06%
"pork trachea",1,0.06%
"dehydrated duck meat protein",1,0.06%
"dried chicory powder",1,0.06%
"dr.clauders pro digest 5 complex 0.75%",1,0.06%
"lamb 36.5%",1,0.06%
"chicory root extract 0.3%",1,0.06%
"mannan-oligosaccharides 0.1%",1,0.06%
"sweet potato 20%",1,0.06%
"sage leaf",1,0.06%
"rapeseed oil.",1,0.06%
"vegetable oil and fat.",1,0.06%
"chicory inulin, yeasts, cranberry extract, glucosamine, chondroitin sulphate, pomegranate extract, green tea extract.",1,0.06%
"venison 35%",1,0.06%
"fresh venison 15%",1,0.06%
"broth 41%",1,0.06%
"cooked wholegrain rice 3.5%",1,0.06%
"carrots 2.3%",1,0.06%
"peas 1.7%",1,0.06%
"cane molasses",1,0.06%
"salmon oil 0.93%",1,0.06%
"msm -methylsulfonylmethane 500 mg/kg",1,0.06%
"chondroitin sulphate 360 mg/kg",1,0.06%
"hydrolysed lamb",1,0.06%
"whole barley 10%",1,0.06%
"fish 62.5%",1,0.06%
"tapioca 7%",1,0.06%
"yeast and yeast extracts",1,0.06%
"prebiotics fos",1,0.06%
"turkey 33.3%",1,0.06%
"brewersâ€™ yeast",1,0.06%
"dandelions",1,0.06%
"dried egg shells",1,0.06%
"dried dill",1,0.06%
"6.05% vegetable",1,0.06%
"2.5% fruits",1,0.06%
"oil and fat",1,0.06%
"0.02% turmeric",1,0.06%
"white rice 38%",1,0.06%
"chicken meal 27%",1,0.06%
"53% fresh salmon",1,0.06%
"32% fresh turkey",1,0.06%
"insect 61.7%",1,0.06%
"beetroot 4%",1,0.06%
"apple 2.7%",1,0.06%
"blueberry 2.7%",1,0.06%
"brewers yeast 1.7%",1,0.06%
"milled linseed 0.4%",1,0.06%
"hemp flour 0.4%",1,0.06%
"pomegranate 0.4%",1,0.06%
"chicory pulp 0.37%",1,0.06%
"minerals 0.05%",1,0.06%
"glucosamine 150mg/kg",1,0.06%
"yucca extract 0.0075%",1,0.06%
"chondroitin 50mg/kg.",1,0.06%
"salmon 23%",1,0.06%
"freshly prepared trout 20%",1,0.06%
"potato starch 11%",1,0.06%
"potato protein 6%",1,0.06%
"beta-carotene.",1,0.06%
"activated charcoal",1,0.06%
"whole british maize",1,0.06%
"dried british & irish beef",1,0.06%
"free range poultry fat",1,0.06%
"yeast products 1000mg/kg",1,0.06%
"chicory root extract 1000mg/kg",1,0.06%
"dried carrot 500mg/kg",1,0.06%
"mixed herbs 500mg/kg",1,0.06%
"glucosamine 500mg/kg",1,0.06%
"chondroitin sulphate 150mg/kg.",1,0.06%
"salmon ingredients",1,0.06%
"marine proteins",1,0.06%
"aloe",1,0.06%
"61.5% fish",1,0.06%
"dehydrated kale",1,0.06%
"minerals & vitamins.",1,0.06%
"blue whiting fish",1,0.06%
"pre-biotic mannanoligosaccharide",1,0.06%
"turkey 43%",1,0.06%
"organic white ocean fish 34%",1,0.06%
"mixed tocopherols and rosemary extract",1,0.06%
"lemon balm",1,0.06%
"calendula",1,0.06%
"black cumin oil",1,0.06%
"brown rice 37.8%",1,0.06%
"poultry meat meal 27.5%",1,0.06%
"chicken 31.7%",1,0.06%
"tuna 16%",1,0.06%
"salmon 4%",1,0.06%
"dehydrated vegetables 1%",1,0.06%
"82.5% bio-organic salmon",1,0.06%
"5% bio-courgette",1,0.06%
"3% calamari",1,0.06%
"3% bio-quinoa",1,0.06%
"2% mussels",1,0.06%
"2% bio-quince",1,0.06%
"2% bio-carrots",1,0.06%
"0.5% bio-fermented jerusalem artichoke concentrate.",1,0.06%
"17.5% organic dried chicken",1,0.06%
"3% wild dried msc herring",1,0.06%
"organic dried rosehips",1,0.06%
"organic dried devils claw",1,0.06%
"organic dried horsetail.",1,0.06%
"l- carnitine",1,0.06%
"flaked whole grain wheat",1,0.06%
"flaked whole grain maize",1,0.06%
"rice lamb meal",1,0.06%
"pineapple extract 0.5%",1,0.06%
"45% fresh duck meat",1,0.06%
"10.5% hydrolyzed starch",1,0.06%
"0.25% pear",1,0.06%
"0.125% banana",1,0.06%
"0.125% oregano",1,0.06%
"0.125% anise",1,0.06%
"0.125% fennel.",1,0.06%
"36% duck",1,0.06%
"18% duck",1,0.06%
"4% tripe",1,0.06%
"2% poultry liver",1,0.06%
"chickpea",1,0.06%
"0.07% seaweed",1,0.06%
"0.07% green lipped mussel",1,0.06%
"0.03% glucosamine",1,0.06%
"0.03% methylsulfonylmethane",1,0.06%
"0.02% chondroitin sulphate.",1,0.06%
"marigold extract. antioxidants.",1,0.06%
"dehydrated salmon meat",1,0.06%
"pearled barley",1,0.06%
"chicory inulin. antioxidants",1,0.06%
"preservatives. total meat content 39%.",1,0.06%
"ground chicken jerky",1,0.06%
"ground whole grain corn",1,0.06%
"ground whole grain rice",1,0.06%
"ground wild tripe",1,0.06%
"ground wild bones",1,0.06%
"moor",1,0.06%
"yucca schidigera dried and ground",1,0.06%
"egg powder.",1,0.06%
"freshly prepared wild boar",1,0.06%
"chicken meal 35%",1,0.06%
"30% beef 30% poultry",1,0.06%
"4% rice",1,0.06%
"3% peas",1,0.06%
"0.2 % linseed oil.",1,0.06%
"meat and bone meal 20%",1,0.06%
"49% vegetable mix",1,0.06%
"21% dried ground sweet lupin",1,0.06%
"dried ground hemp",1,0.06%
"dried ground potato 5%",1,0.06%
"5% oil mix",1,0.06%
"5% fruit mix",1,0.06%
"2% milk thistle seeds",1,0.06%
"1% dried herbs",1,0.06%
"dried ground yucca schidigera.",1,0.06%
"vegetables. highly digestible ingredients: chicken and turkey meal",1,0.06%
"yucca- extract",1,0.06%
"fish and sunflower oil.",1,0.06%
"dried duck 34%",1,0.06%
"pea protein 11%",1,0.06%
"pea flour 10%",1,0.06%
"duck fat 5%",1,0.06%
"brewers yeast 2%",1,0.06%
"yucca extract 0.1%",1,0.06%
"chicken 44%",1,0.06%
"pea",1,0.06%
"freshly prepared scallops",1,0.06%
"freshly prepared whelk",1,0.06%
"dried chicken & turkey 14%",1,0.06%
"fish meal 5%",1,0.06%
"seasonal white fish",1,0.06%
"fish stock",1,0.06%
"botanicals &amp; herbs",1,0.06%
"ginkgo biloba",1,0.06%
"botanicals &amp; herbs.",1,0.06%
"dried cranberry.",1,0.06%
"poultry 37%",1,0.06%
"malt extracts",1,0.06%
"prime beef mince",1,0.06%
"red pepper",1,0.06%
"superfood supplement.",1,0.06%
"freshly prepared vegetables",1,0.06%
"split red lentils",1,0.06%
"milled chickpeas",1,0.06%
"fresh chicken meat 73%",1,0.06%
"glucosamine by fermentation.",1,0.06%
"dried white fish",1,0.06%
"freshly prepared quail",1,0.06%
"glucosamine 1600.5 mg/kg",1,0.06%
"methylsulfonylmethane 1600.5 mg/kg",1,0.06%
"chondroitin sulphate 1125 mg/kg",1,0.06%
"mannan- oligosaccharides",1,0.06%
"dried botanicals 0.03%",1,0.06%
"fresh tripe",1,0.06%
"devil's claw root",1,0.06%
"turkey 39.5%",1,0.06%
"brown rice 14%",1,0.06%
